IFYL,IFY,correct,neural_correct,epoch,MU
0.211597219,0.471903563,0.845399976,0.940400004,1,0.260306343
0.26202926,0.539395273,0.855699956,0.964299917,2,0.277366012
0.279888272,0.5585289,0.857599974,0.969799995,3,0.278640628
0.274560958,0.554486513,0.858500004,0.966600001,4,0.279925555
0.29340446,0.583636642,0.862499952,0.976899981,5,0.290232182
0.279960304,0.566628575,0.864300013,0.970700026,6,0.286668271
0.292711765,0.580354869,0.862500012,0.974400043,7,0.287643105
0.297762513,0.591905951,0.865399957,0.978399992,8,0.294143438
0.305210501,0.603012323,0.866400003,0.98210001,9,0.297801822
0.301092684,0.597822666,0.8671,0.979900002,10,0.296729982
0.304839075,0.606888413,0.868700027,0.982900023,11,0.302049339
0.308330238,0.609667778,0.868399978,0.983700037,12,0.30133754
0.307132512,0.607100606,0.868600011,0.98210001,13,0.299968094
0.317321122,0.615738392,0.86650002,0.985199988,14,0.29841727
0.315031022,0.61784029,0.869399965,0.985699952,15,0.302809268
0.313111842,0.615777969,0.868999958,0.985200047,16,0.302666128
0.314944088,0.619453013,0.869899988,0.986000061,17,0.304508924
0.313664585,0.617788553,0.869700015,0.985599995,18,0.304123968
0.312049538,0.616688967,0.870000005,0.985299945,19,0.304639429
0.31594348,0.618672609,0.869199991,0.985900044,20,0.30272913
0.314393699,0.619565368,0.870299995,0.986099958,21,0.305171669
0.319975734,0.621630788,0.868700027,0.986500025,22,0.301655054
0.320100874,0.623193264,0.869099975,0.986900032,23,0.30309239
0.320361316,0.625656128,0.870200038,0.987500012,24,0.305294812
0.316375017,0.622964799,0.870599985,0.986899972,25,0.306589782
0.320304185,0.625816047,0.870400012,0.987499952,26,0.305511862
0.316361427,0.623021305,0.870800018,0.986899972,27,0.306659877
0.31608811,0.622049809,0.870599985,0.986400008,28,0.305961698
0.318469524,0.62516892,0.870700002,0.987399995,29,0.306699395
0.318792343,0.624979258,0.870800018,0.987300038,30,0.306186914
0.317324549,0.623886049,0.871099949,0.986999989,31,0.3065615
0.31504494,0.621911645,0.871000051,0.986600041,32,0.306866705
0.313343138,0.619305789,0.870900035,0.985700011,33,0.305962652
0.321578741,0.626887321,0.870400012,0.987699986,34,0.30530858
0.319015682,0.625023365,0.870599985,0.987299919,35,0.306007683
0.315598279,0.622405767,0.871100008,0.986699998,36,0.306807488
0.317584306,0.624004006,0.871099949,0.986999989,37,0.3064197
0.31687212,0.62364769,0.871000051,0.986999989,38,0.30677557
0.320532113,0.627014875,0.870999992,0.987800002,39,0.306482762
0.319414914,0.625950933,0.870999992,0.987500012,40,0.306536019
0.319022775,0.626312375,0.871299982,0.987499952,41,0.3072896
0.320472479,0.627252638,0.870999992,0.987800002,42,0.306780159
0.31909135,0.625644565,0.870900035,0.987400055,43,0.306553215
0.317995995,0.625614405,0.871299982,0.987500012,44,0.307618409
0.320683956,0.627581596,0.871000051,0.987900019,45,0.30689764
0.319112092,0.626082897,0.871100008,0.987599969,46,0.306970805
0.318277508,0.625644565,0.871500015,0.987399995,47,0.307367057
0.318861902,0.626116097,0.871199965,0.987499952,48,0.307254195
0.319706768,0.627046168,0.871200025,0.987800002,49,0.3073394
0.319407761,0.626834631,0.871399999,0.987699986,50,0.30742687
0.321728587,0.628818512,0.870999992,0.988200009,51,0.307089925
0.319010347,0.627204657,0.871800005,0.987800002,52,0.308194309
0.321284592,0.628391504,0.870899975,0.988099992,53,0.307106912
0.319111764,0.626320541,0.871100008,0.987599969,54,0.307208776
0.320362568,0.627358973,0.871100008,0.987800002,55,0.306996405
0.320879221,0.628818512,0.871500015,0.988200009,56,0.307939291
0.321252197,0.628854513,0.871299982,0.988200009,57,0.307602316
0.320202887,0.627671719,0.871399999,0.987899959,58,0.307468832
0.321044177,0.628357649,0.871200025,0.988100052,59,0.307313472
0.319686949,0.626986921,0.871299982,0.987800002,60,0.307299972
0.320753276,0.628046691,0.871299982,0.988000035,61,0.307293415
0.320709258,0.627898693,0.871199965,0.987999976,62,0.307189435
0.321544886,0.629319787,0.871399999,0.988299966,63,0.307774901
0.320508212,0.627721906,0.871299982,0.987900019,64,0.307213694
0.320753276,0.628046691,0.871299982,0.988000035,65,0.307293415
0.321487874,0.628818512,0.871099949,0.988199949,66,0.307330638
0.321708441,0.629319787,0.871299982,0.988300025,67,0.307611346
0.321729034,0.629319787,0.871299982,0.988299966,68,0.307590753
0.321212292,0.628894091,0.871399999,0.988200009,69,0.307681799
0.321098924,0.628193736,0.871199965,0.988000035,70,0.307094812
0.321323037,0.628513932,0.871199965,0.988099992,71,0.307190895
0.322136909,0.629319787,0.871100008,0.988300025,72,0.307182878
0.321491122,0.628561676,0.871200025,0.988100052,73,0.307070553
0.3213754,0.628894091,0.871299982,0.988200068,74,0.307518691
0.321446419,0.628854513,0.871199965,0.988199949,75,0.307408094
0.321780741,0.629319787,0.871199965,0.988300025,76,0.307539046
0.321296871,0.628854513,0.871199965,0.988200009,77,0.307557642
0.321866602,0.62928164,0.871199965,0.988299966,78,0.307415038
0.322220683,0.629746795,0.871199965,0.988400042,79,0.307526112
0.321427137,0.628937066,0.871299982,0.988199949,80,0.307509929
0.3215698,0.628894091,0.871199965,0.988199949,81,0.30732429
0.321780741,0.629319787,0.871199965,0.988300025,82,0.307539046
0.322353542,0.629746795,0.871199965,0.988399982,83,0.307393253
0.321780741,0.629319787,0.871199965,0.988300025,84,0.307539046
0.322107226,0.629319787,0.871099949,0.988300025,85,0.307212561
0.321902871,0.629319787,0.871199965,0.988299966,86,0.307416916
0.32144773,0.628894091,0.871200025,0.988200068,87,0.307446361
0.321934551,0.629361391,0.871200025,0.988300085,88,0.30742684
0.3213754,0.628894091,0.871299982,0.988200068,89,0.307518691
0.321780741,0.629319787,0.871199965,0.988300025,90,0.307539046
0.321902871,0.629319787,0.871199965,0.988299966,91,0.307416916
0.321780741,0.629319787,0.871199965,0.988300025,92,0.307539046
0.321902871,0.629319787,0.871199965,0.988299966,93,0.307416916
0.321902871,0.629319787,0.871199965,0.988299966,94,0.307416916
0.3215698,0.628894091,0.871199965,0.988199949,95,0.30732429
0.32197535,0.629319787,0.871100008,0.988299966,96,0.307344437
0.32164228,0.628894091,0.871100008,0.988199949,97,0.307251811
0.321780741,0.629319787,0.871199965,0.988300025,98,0.307539046
0.32164228,0.628894091,0.871100008,0.988199949,99,0.307251811
