IFYL,IFY,correct,neural_correct,epoch,MU
0.210674897,0.315490395,0.750785828,0.865669489,1,0.104815498
0.316370994,0.450828463,0.76272881,0.934459209,2,0.134457469
0.348040611,0.492121696,0.768747151,0.949154973,3,0.144081086
0.356688321,0.504445791,0.771677554,0.951688051,4,0.147757471
0.369158089,0.525788665,0.776859999,0.960051298,5,0.156630576
0.379747272,0.539111555,0.779116094,0.964309216,6,0.159364283
0.387540549,0.547242582,0.779234529,0.966852009,7,0.159702033
0.391332388,0.553915679,0.780977309,0.968587995,8,0.162583292
0.39405638,0.55793798,0.781513333,0.96996516,9,0.1638816
0.392157555,0.555019736,0.781918168,0.968281269,10,0.162862182
0.400184035,0.565186083,0.782709599,0.971819401,11,0.165002048
0.401398659,0.568194091,0.783508003,0.972852767,12,0.166795433
0.400218546,0.567905426,0.784810543,0.972765088,13,0.16768688
0.403710365,0.571756244,0.784623921,0.973698497,14,0.168045878
0.403015256,0.570031166,0.784274101,0.972884655,15,0.16701591
0.409259856,0.57827872,0.785060763,0.97556901,16,0.169018865
0.407217413,0.577518702,0.786508203,0.975299954,17,0.170301288
0.408541918,0.578481674,0.786131859,0.975366294,18,0.169939756
0.411721438,0.582798898,0.786470056,0.976847768,19,0.17107746
0.412219942,0.58432281,0.787287593,0.977278888,20,0.172102869
0.410676897,0.582830787,0.787317753,0.97663188,21,0.17215389
0.415161341,0.586369455,0.786786437,0.977788627,22,0.171208113
0.411403507,0.584268808,0.787729383,0.977155805,23,0.172865301
0.413790345,0.587601304,0.788065672,0.978105187,24,0.173810959
0.414755166,0.587751746,0.787963748,0.978185177,25,0.172996581
0.413784206,0.588142157,0.788599789,0.978272915,26,0.174357951
0.409276992,0.581967592,0.788371682,0.975941062,27,0.1726906
0.415778488,0.589933515,0.788663685,0.97875917,28,0.174155027
0.414439201,0.58923471,0.788873315,0.978560448,29,0.174795508
0.416205168,0.591500998,0.789296508,0.979069591,30,0.17529583
0.416399509,0.59175241,0.789337814,0.979221702,31,0.175352901
0.416310906,0.591235995,0.789044142,0.979099154,32,0.174925089
0.417029977,0.592267036,0.789355755,0.979366064,33,0.17523706
0.415565372,0.590872884,0.789449573,0.978754282,34,0.175307512
0.41774866,0.593111753,0.78931427,0.979584515,35,0.175363094
0.417626649,0.593726933,0.789822578,0.979743958,36,0.176100284
0.417944938,0.59348774,0.789553463,0.979655266,37,0.175542802
0.41825068,0.593976617,0.789605856,0.979782939,38,0.175725937
0.41822803,0.594181061,0.789772987,0.979860902,39,0.175953031
0.418347448,0.594665289,0.78982538,0.979961932,40,0.176317841
0.418753982,0.594933808,0.789831221,0.980028868,41,0.176179826
0.418227673,0.594465017,0.789970279,0.97980535,42,0.176237345
0.418467194,0.594794869,0.789988518,0.979952335,43,0.176327676
0.418863654,0.595257699,0.789999425,0.980068564,44,0.176394045
0.419142693,0.595663309,0.790073276,0.9802109,45,0.176520616
