final_record_alpha_0.7_delta_0.05_factor0.75,total_record
879.1912792949374,1368.7238349050162
842.9983487704208,1330.6546289372836
866.5847472495832,1381.2907830309969
874.5451573756001,1400.2257451068097
870.2622383208112,1363.161212047092
1334.4783095192527,2212.1504913682725
1311.4798252108208,2184.3784362001265
1317.8595371436572,2176.016008053814
1409.9091897205885,2303.383262523828
1248.158958871734,2116.279590709523
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
