alpha,delta,factor,time,minus_delta,total_record
0.7,0.1,0.5,100000,2261.174886,3811.806366
0.7,0.1,0.5,100000,2310.317694,3839.286887
0.7,0.1,0.5,100000,2279.921956,3818.972172
0.7,0.1,0.5,100000,2246.855064,3798.116793
0.7,0.1,0.5,100000,2273.474625,3815.191724
0.7,0.1,0.5,200000,3998.79591,6742.833355
0.7,0.1,0.5,200000,4007.43816,6826.853757
0.7,0.1,0.5,200000,4023.935563,6841.394641
0.7,0.1,0.5,200000,4005.937192,6825.559827
0.7,0.1,0.5,200000,4098.996271,6951.553106
0.7,0.1,0.5,400000,6978.935376,12110.25422
0.7,0.1,0.5,400000,7028.091289,12112.79873
0.7,0.1,0.5,400000,6928.295039,12064.29552
0.7,0.1,0.5,400000,6923.480766,12023.07116
0.7,0.1,0.5,400000,7063.060996,12223.32443
0.7,0.1,0.5,600000,9640.411131,16864.62764
0.7,0.1,0.5,600000,9770.663361,17115.83009
0.7,0.1,0.5,600000,9747.354569,17111.67159
0.7,0.1,0.5,600000,9811.641335,17191.997
0.7,0.1,0.5,600000,9802.471144,17143.37575
0.7,0.1,0.5,800000,12432.79949,21973.72836
0.7,0.1,0.5,800000,12311.65244,21749.99913
0.7,0.1,0.5,800000,12238.07397,21673.73597
0.7,0.1,0.5,800000,12321.72667,21693.19252
0.7,0.1,0.5,800000,12365.99418,21900.74265
0.7,0.1,0.75,100000,506.0874761,1253.905913
0.7,0.1,0.75,100000,526.443902,1358.92551
0.7,0.1,0.75,100000,532.0946077,1359.602046
0.7,0.1,0.75,100000,535.2885438,1367.739155
0.7,0.1,0.75,100000,566.4758364,1409.638946
0.7,0.1,0.75,200000,840.4911784,2338.775608
0.7,0.1,0.75,200000,763.606332,2129.155935
0.7,0.1,0.75,200000,782.0951946,2163.561379
0.7,0.1,0.75,200000,786.2888977,2226.349829
0.7,0.1,0.75,200000,762.9598738,2114.13156
0.7,0.1,0.75,400000,1138.232066,3424.746626
0.7,0.1,0.75,400000,1189.009914,3405.120785
0.7,0.1,0.75,400000,1157.075834,3517.462513
0.7,0.1,0.75,400000,1194.517942,3589.134336
0.7,0.1,0.75,400000,1221.456023,3591.030253
0.7,0.1,0.75,600000,1441.971306,4759.186604
0.7,0.1,0.75,600000,1509.094816,4636.954069
0.7,0.1,0.75,600000,1442.529191,4446.930181
0.7,0.1,0.75,600000,1437.44134,4433.636353
0.7,0.1,0.75,600000,1479.95464,4616.87857
0.7,0.1,0.75,800000,1595.154899,5448.172208
0.7,0.1,0.75,800000,1730.769864,5425.855484
0.7,0.1,0.75,800000,1653.203723,5503.140982
0.7,0.1,0.75,800000,1690.842862,5386.868261
0.7,0.1,0.75,800000,1724.576028,5727.019357
0.7,0.1,0.675,100000,983.5299446,1926.082166
0.7,0.1,0.675,100000,900.157764,1767.489201
0.7,0.1,0.675,100000,949.9746954,1834.888111
0.7,0.1,0.675,100000,943.3225156,1857.365917
0.7,0.1,0.675,100000,902.263688,1833.033919
0.7,0.1,0.675,200000,1510.518322,2991.730981
0.7,0.1,0.675,200000,1564.110014,3108.14709
0.7,0.1,0.675,200000,1564.661283,3073.199038
0.7,0.1,0.675,200000,1566.725207,3119.900057
0.7,0.1,0.675,200000,1579.885987,3135.945577
0.7,0.1,0.675,400000,2523.093944,5128.782442
0.7,0.1,0.675,400000,2531.977267,5152.411769
0.7,0.1,0.675,400000,2551.482757,5200.505323
0.7,0.1,0.675,400000,2428.32655,5023.500345
0.7,0.1,0.675,400000,2557.693823,5185.99349
0.7,0.1,0.675,600000,3339.087913,6975.253535
0.7,0.1,0.675,600000,3361.800382,7066.697708
0.7,0.1,0.675,600000,3248.998032,6768.951091
0.7,0.1,0.675,600000,3379.276493,6943.821245
0.7,0.1,0.675,600000,3365.543347,7007.179704
0.7,0.1,0.675,800000,3982.476278,8348.637058
0.7,0.1,0.675,800000,4052.778949,8450.236073
0.7,0.1,0.675,800000,4058.431174,8478.731807
0.7,0.1,0.675,800000,4053.88303,8461.209371
0.7,0.1,0.675,800000,4005.420226,8519.211978
0.7,0.2,0.5,100000,1270.555669,3791.407286
0.7,0.2,0.5,100000,1320.326407,3865.252525
0.7,0.2,0.5,100000,1285.885304,3787.91701
0.7,0.2,0.5,100000,1284.171478,3775.40795
0.7,0.2,0.5,100000,1298.826796,3778.108432
0.7,0.2,0.5,200000,2275.406782,6885.289973
0.7,0.2,0.5,200000,2271.101729,6880.00595
0.7,0.2,0.5,200000,2285.850339,6910.029911
0.7,0.2,0.5,200000,2259.254623,6740.140336
0.7,0.2,0.5,200000,2277.97922,6858.285015
0.7,0.2,0.5,400000,3923.052104,11997.92043
0.7,0.2,0.5,400000,3916.605479,12150.79959
0.7,0.2,0.5,400000,4008.841497,12312.37554
0.7,0.2,0.5,400000,3999.807218,12175.0604
0.7,0.2,0.5,400000,4012.550157,12321.97427
0.7,0.2,0.5,600000,5466.231098,17018.29356
0.7,0.2,0.5,600000,5490.415263,17177.06408
0.7,0.2,0.5,600000,5476.28964,17182.72116
0.7,0.2,0.5,600000,5441.136307,17060.42552
0.7,0.2,0.5,600000,5400.740588,17095.85518
0.7,0.2,0.5,800000,6889.284666,21923.44313
0.7,0.2,0.5,800000,6867.732236,21891.15007
0.7,0.2,0.5,800000,6796.990571,21511.13002
0.7,0.2,0.5,800000,6796.826134,21546.79576
0.7,0.2,0.5,800000,6803.827518,21641.9893
0.7,0.2,0.75,100000,207.5183593,1435.571306
0.7,0.2,0.75,100000,218.0949038,1357.778745
0.7,0.2,0.75,100000,214.2724551,1389.360287
0.7,0.2,0.75,100000,215.283261,1356.116609
0.7,0.2,0.75,100000,241.1472036,1468.091881
0.7,0.2,0.75,200000,301.341615,2211.335214
0.7,0.2,0.75,200000,343.5068115,2271.201394
