final_record_alpha_0.8_delta_0.1_factor0.5,total_record
1113.0609999999945,2069.1395999999813
1048.1909999999975,1970.319999999997
1074.2449999999994,2001.4651999999994
1127.7850000000033,2084.534400000007
1100.6450000000002,2087.4353999999835
1816.5587310055298,3399.1362510844356
1924.0413018204297,3638.0120109382638
1915.3347369255307,3624.280883532337
1878.5062722031648,3579.9079267989255
1883.1967338310483,3516.586866489594
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
