final_record_alpha_0.8_delta_0.1_factor0.5,total_record
268.13419999999917,828.6509999999756
257.4273999999974,884.7469999999713
245.32760000000064,714.6201999999787
220.41239999999496,763.1201999999703
284.6865999999935,889.4995999999677
464.1373065452806,1319.9539184076823
436.72642116390847,1316.353730479401
419.11958384682896,1223.8298970637527
442.6206068340206,1259.6869003293084
445.64037675204645,1276.8603349365635
858.8905724996736,2180.6484544982663
801.206082546401,2300.3488974015268
803.4057255905806,2235.592624593714
788.9124046389503,2164.1167694370756
842.7416863345388,2169.183873553327
1118.1273373066554,2851.9349555993654
1099.3234004860662,2916.833834932815
1146.908884780684,3006.9756819209992
1118.174768208429,2870.284006810797
1158.4292358643404,2810.8511273095764
0,0
0,0
0,0
0,0
0,0
