final_record_alpha_0.8_delta_0.1_factor0.5,total_record
1621.454799999996,2899.139200000008
1652.7314000000001,2911.446199999983
1659.1165999999967,2955.426399999996
1648.4089999999997,2959.3963999999955
1675.0621999999987,2965.48539999999
1661.7913999999973,2939.144000000002
1662.5496000000019,2990.8681999999976
1613.3840000000002,2907.160399999971
1668.0888,2916.979399999991
1623.0357999999983,2894.7415999999894
2868.0399494829567,5158.978802711764
2840.918902673819,5101.401763495231
2850.3948018857654,5074.36581168884
2926.628251539597,5185.4439590675765
2854.639064477624,5109.679620619882
2884.9909764159647,5129.37469219175
2912.7532756388023,5222.763412814439
2912.923848585318,5201.843377618228
2851.7135498043453,5128.267750920402
2895.3382453298773,5142.768419371458
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
